"state","poverty_65_plus","poverty_some_college","poverty_bachelor","percent_in_poverty","population_in_poverty","poverty_higher_edu","total_population","pop_age_65","pop_age_75","pop_age_85","pop_age_75_plus","pop_age_65_plus"
"Alabama",87821,104971,37725,15.5,4781688,142696,4903185,505557,264071,84684,348755,854312
"Alaska",6160,11030,4631,10.1,713725,15661,731545,61658,22265,6665,28930,90588
"Arizona",116689,159520,70436,13.5,7116266,229956,7278717,751831,424605,130805,555410,1307241
"Arkansas",53496,71462,23019,16.2,2929117,94481,3017804,303422,162243,58572,220815,524237
"California",599877,674644,423517,11.8,38733295,1098161,39512223,3391856,1725842,717300,2443142,5834998
"Colorado",59512,94487,60367,9.3,5637904,154854,5758736,524969,231835,88574,320409,845378
"Connecticut",44320,46241,32216,10,3460446,78457,3565287,352559,187950,88523,276473,629032
"Delaware",13532,13679,8182,11.3,944955,21861,973764,112847,57991,18800,76791,189638
"District of Columbia",11280,13314,12633,13.5,673041,25947,705749,50587,25639,11311,36950,87537
"Florida",474898,420035,247191,12.7,21048884,667226,21477737,2463083,1474050,561065,2035115,4498198
"Georgia",155317,182111,87756,13.3,10332523,269867,10617423,933722,444890,144580,589470,1523192
"Hawaii",23033,21706,13116,9.3,1379078,34822,1415872,153238,78564,37668,116232,269470
"Idaho",19511,35925,12594,11.2,1753946,48519,1787065,174120,86347,28150,114497,288617
"Illinois",170042,216429,119577,11.5,12373209,336006,12671821,1182015,609326,254020,863346,2045361
"Indiana",80303,106562,49513,11.9,6517430,156075,6732219,637375,319196,127901,447097,1084472
"Iowa",39327,55724,25135,11.2,3058938,80859,3155070,311643,165190,76742,241932,553575
"Kansas",33350,51770,20460,11.4,2826818,72230,2913314,274666,140129,63201,203330,477996
"Kentucky",85199,90770,30789,16.3,4326675,121559,4467673,454932,222988,76639,299627,754559
"Louisiana",95736,103928,40577,19,4515876,144505,4648794,446721,220113,75360,295473,742194
"Maine",23542,25479,13458,10.9,1304100,38937,1344212,169556,81769,34653,116422,285978
"Maryland",73398,77280,53933,9,5898360,131213,6045680,564533,281807,113547,395354,959887
"Massachusetts",103160,90543,77978,9.4,6656430,168521,6892503,676157,336202,159934,496136,1172293
"Michigan",144601,209522,80991,13,9772151,290513,9986857,1041813,510903,213693,724596,1766409
"Minnesota",66431,88975,38937,9,5515416,127912,5639632,533366,276534,111591,388125,921491
"Mississippi",62566,81689,24171,19.6,2877843,105860,2976149,289064,143319,54421,197740,486804
"Missouri",91208,120743,45390,12.9,5953025,166133,6137428,609250,327032,121661,448693,1057943
"Montana",17495,22977,11245,12.6,1042682,34222,1068778,126488,60461,20960,81421,207909
"Nebraska",24363,29829,14900,9.9,1877629,44729,1934408,179065,91842,41388,133230,312295
"Nevada",47148,66912,32367,12.5,3037199,99279,3080156,305843,149584,42792,192376,498219
"New Hampshire",15301,16333,10497,7.3,1316495,26830,1359711,152050,72230,28867,101097,253147
"New Jersey",126901,94399,82846,9.2,8712974,177245,8882190,837002,444063,194010,638073,1475075
"New Mexico",50190,58627,23119,18.2,2053305,81746,2096829,224011,113221,40498,153719,377730
"New York",384966,311513,240059,13,18932499,551572,19453561,1863892,992444,439632,1432076,3295968
"North Carolina",156614,207621,93255,13.6,10199239,300876,10488084,1047490,519151,184294,703445,1750935
"North Dakota",9149,13996,4729,10.6,738814,18725,762062,67281,34821,18075,52896,120177
"Ohio",164622,223952,88243,13.1,11362386,312195,11689100,1187641,612935,242972,855907,2043548
"Oklahoma",59533,84332,28857,15.2,3841763,113189,3956971,368463,192486,74273,266759,635222
"Oregon",61189,98377,47583,11.4,4136542,145960,4217737,467259,214550,85687,300237,767496
"Pennsylvania",190650,196272,113279,12,12387178,309551,12801989,1353195,710194,324829,1035023,2388218
"Puerto Rico",269364,183785,103272,43.5,3167190,287057,3193694,366492,226345,86828,313173,679665
"Rhode Island",16103,14695,9603,10.8,1018586,24298,1059361,107381,53019,26755,79774,187155
"South Carolina",92278,101308,41260,13.8,5003235,142568,5148714,571319,277347,86872,364219,935538
"South Dakota",11387,13819,5104,11.9,854648,18923,884659,90443,44057,19299,63356,153799
"Tennessee",107259,121723,55218,13.9,6656385,176941,6829174,680190,341410,117365,458775,1138965
"Texas",389061,480721,230464,13.6,28361423,711185,28995881,2259341,1081125,398261,1479386,3738727
"Utah",22492,43244,25795,8.9,3157996,69039,3205958,219213,109412,36573,145985,365198
"Vermont",7471,10065,6568,10.2,599030,16633,623989,75354,35553,14294,49847,125201
"Virginia",93924,113325,77670,9.9,8279357,190995,8535519,809641,396708,151987,548695,1358336
"Washington",88820,147993,70045,9.8,7470152,218038,7614893,736308,340740,130637,471377,1207685
"West Virginia",33372,35529,10915,16,1739050,46444,1792147,217526,107764,42110,149874,367400
"Wisconsin",73581,95948,38356,10.4,5675557,134304,5822434,597951,295832,126113,421945,1019896
"Wyoming",7091,9664,5850,10.1,563528,15514,578759,60674,28489,9626,38115,98789
